[2026-04-14 22:47:46 -0300] [24894] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:47:46 -0300] [24894] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:46 -0300] [24894] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:47 -0300] [24894] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:47 -0300] [24894] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:48 -0300] [24894] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:48 -0300] [24894] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:49 -0300] [24894] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:49 -0300] [24894] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:51 -0300] [24894] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:51 -0300] [24894] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:52 -0300] [24894] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:47:57 -0300] [24912] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:47:57 -0300] [24912] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:57 -0300] [24912] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:58 -0300] [24912] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:58 -0300] [24912] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:47:59 -0300] [24912] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:47:59 -0300] [24912] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
